cine_id,name,distrito,pob_cp_only,pob_competitivo,pob_perdida,pct_pob_retenida,area_cp_only,area_competitivo,pct_area_retenida,dur_cp_only,dur_competitivo,competidor,comp_brand,comp_dist_m
CP24,Cineplanet,Chorrillos,480588.71450805664,113732.4375,366856.27700805664,23.665232675390545,59.000000000002174,8.00000000000067,13.55932203389894,9.553333333333335,4.142083333333334,Cinestar Chorrillos SP,Cinestar,1159.893853735822
CP07,Cineplanet,San Juan de Lurigancho,664235.46484375,315429.8515625,348805.61328125,47.48765584756897,38.999999999997996,17.999999999999037,46.153846153846054,7.91974358974359,7.6076851851851846,Cinestar SJL,Cinestar,1258.1873566001607
CP23,Cineplanet,San Juan de Miraflores,379968.03228759766,40714.1953125,339253.83697509766,10.715163343447651,26.00000000000003,2.0,7.6923076923076845,7.133653846153846,2.2158333333333333,Cinestar Sur,Cinestar,612.7381060031437
CP09,Cineplanet,Lima,298572.0927734375,25913.4609375,272658.6318359375,8.679130288698367,19.999999999999883,1.9999999999996507,9.999999999998312,6.896,5.989999999999999,Cinestar Excelsior,Cinestar,53.21719818103972
CP16,Cineplanet,San Borja,303787.951171875,68792.515625,234995.435546875,22.64491246595855,18.99999999999936,5.999999999999622,31.578947368420124,5.437807017543859,3.479166666666666,Cinestar Aviación,Cinestar,561.2581564511368
CP05,Cineplanet,Independencia,1336846.7115478516,1128355.2701416016,208491.44140625,84.40423725433331,73.99999999999693,62.99999999999805,85.13513513513603,8.585337837837839,8.85005291005291,Cinemark MegaPlaza,Cinemark,431.30746242327723
CP08,Cineplanet,Ate,640240.9823303223,457278.72842407227,182962.25390625,71.42290809933603,38.00000000000044,31.000000000001428,81.57894736842385,7.973728070175438,7.824623655913977,Cinépolis Santa Anita,Cinépolis,4654.292585944226
CP26,Cineplanet,Villa El Salvador,755218.7745361328,579348.8123779297,175869.96215820312,76.71271317821446,52.99999999999739,41.99999999999759,79.24528301886727,7.445283018867923,7.265595238095238,MovieTime VES Unicachi,MovieTime,3389.3673310130634
CP25,Cineplanet,Villa María del Triunfo,427481.1790161133,297269.5783691406,130211.60064697266,69.53980501628949,63.999999999994444,48.99999999999448,76.56249999999802,13.72171875,13.485544217687073,MovieTime VES1,MovieTime,3054.5488787891213
CP20,Cineplanet Primavera,San Borja,157411.4853515625,66456.1630859375,90955.322265625,42.21811574772605,10.000000000001162,3.999999999999418,39.999999999989534,3.7908333333333326,2.840416666666667,Cinemark Mallplaza Angamos,Cinemark,1044.4392823767646
CP04,Cineplanet Canto Grande,San Juan de Lurigancho,854095.7864227295,766155.1418914795,87940.64453125,89.70365549986165,125.99999999999896,120.99999999999889,96.03174603174594,13.448359788359792,13.701294765840222,Cinestar SJL,Cinestar,3844.945699612221
CP22,Cineplanet,Miraflores,136176.501953125,51167.015625,85009.486328125,37.574041696718595,21.999999999999826,8.99999999999907,40.909090909087006,6.028030303030304,4.463333333333333,Cinerama Pacífico,Cinerama,1458.0934020848802
CP12,Cineplanet,San Miguel,650391.8648071289,572760.7554321289,77631.109375,88.06394827862411,62.99999999999767,57.999999999998586,92.06349206349323,9.410423280423279,9.535172413793104,Cinemark San Miguel,Cinemark,157.51370177377004
CP03,Cineplanet Pro,Comas,949897.359375,875426.2236328125,74471.1357421875,92.16008603380192,73.99999999999471,69.99999999999521,94.59459459459488,9.02481981981982,9.294857142857143,Cinemark Mallplaza Comas,Cinemark,635.5518230148516
CP11,Cineplanet,Breña,119835.76171875,56713.21484375,63122.546875,47.32578491623708,7.000000000002443,3.0000000000019207,42.85714285715533,4.26904761904762,2.885,Cinestar Breña,Cinestar,1244.6552003604024
CP19,Cineplanet El Polo,Santiago de Surco,159867.71533203125,96898.8681640625,62968.84716796875,60.61190526355621,15.00000000000015,8.999999999999332,59.99999999999495,4.558777777777777,3.429444444444444,Cinemark Jockey Plaza,Cinemark,1748.88320706895
CP02,Cineplanet,Comas,567199.1385307312,507372.5584526062,59826.580078125,89.4522794528392,431.99999999999744,428.999999999995,99.30555555555497,36.36622685185185,36.58532634032634,Cinestar Comas,Cinestar,2101.5893855359277
CP06,Cineplanet,Santa Clara,694580.7215662003,639788.9460487366,54791.775517463684,92.11153235092468,398.00000000000006,254.0000000000016,63.81909547738732,24.481453098827476,17.381240157480313,Cinépolis Santa Anita,Cinépolis,10385.773939179973
CP15,Cineplanet Plaza Santa Catalina,La Victoria,129580.6171875,75085.974609375,54494.642578125,57.94537504071881,8.999999999999622,5.999999999999564,66.66666666666463,3.813333333333334,3.1,Cinestar Arenales,Cinestar,1696.201478751793
CP21,Cineplanet,Santiago de Surco,131666.1142578125,83139.8232421875,48526.291015625,63.144434474152746,9.000000000004452,6.00000000000451,66.66666666668381,3.8472222222222223,3.341388888888889,Cinemark Mallplaza Angamos,Cinemark,2197.3760137260924
CP13,Cineplanet,La Molina,369241.03171157837,342533.74948501587,26707.2822265625,92.76697876648116,349.0000000000008,347.0000000000015,99.42693409742141,32.31546322827125,32.46220461095101,Cinépolis Santa Anita,Cinépolis,4436.007562967897
CP10,Cineplanet,Lima,71520.4052734375,53430.4833984375,18089.921875,74.70662840089003,4.000000000000116,3.000000000000582,75.00000000001236,4.119583333333334,3.3,UVK San Martín,UVK,754.2448357487114
CP14,Cineplanet Risso,Lince,48394.21875,31143.5380859375,17250.6806640625,64.35383996345121,4.000000000002445,1.9999999999986031,49.999999999934516,2.8870833333333334,3.4833333333333334,Cinestar Arenales,Cinestar,99.47040441556693
CP17,Cineplanet Salaverry,Jesús María,97097.46240234375,92649.5400390625,4447.92236328125,95.4191157490292,7.999999999999651,7.000000000000348,87.50000000000817,4.1345833333333335,4.107142857142857,MovieTime Premium Basadre,MovieTime,1644.9059263305305
CP01,Cineplanet,Ventanilla,787737.0240755081,787737.0240755081,0.0,100.0,449.0000000000033,449.0000000000033,100.0,28.960861172976987,28.960861172976987,Cinemark Mallplaza Comas,Cinemark,9683.826500173864
CP18,Cineplanet,La Molina,61659.2333984375,61659.2333984375,0.0,100.0,12.000000000000059,12.000000000000059,100.0,4.858055555555555,4.858055555555555,Cinemark Jockey Plaza,Cinemark,2714.7828039683063
CP27,Cineplanet,Lurín,222994.3478782177,222994.3478782177,0.0,100.0,659.0000000000066,659.0000000000066,100.0,38.10211178553364,38.10211178553364,MovieTime VES Unicachi,MovieTime,12706.014376007926
