cine_id,cell_id,name,distrito,n_cells,pob_inei,pob_worldpop,dur_min_avg,dur_p50_min,dur_p90_min,dist_avg_km,area_km2,dens_worldpop_km2,dens_inei_km2
CP05,C00147,Cineplanet,Independencia,74,982412.8789912593,1336846.7115478516,8.585337837837839,8.035,13.586333333333334,5.326110810810811,73.99999999999693,18065.496101998742,13275.849716098648
CP03,C00246,Cineplanet Pro,Comas,74,714032.982764044,949897.359375,9.02481981981982,8.424166666666668,14.765333333333334,6.140190540540542,73.99999999999471,12836.450802365782,9649.094361676958
CP04,C00756,Cineplanet Canto Grande,San Juan de Lurigancho,126,888598.3022868881,854095.7864227295,13.448359788359792,12.749166666666667,20.896666666666665,8.662033333333332,125.99999999999896,6778.5379874820355,7052.367478467424
CP01,C00000,Cineplanet,Ventanilla,449,677327.0071712546,787737.0240755081,28.960861172976987,22.618333333333332,91.95333333333333,19.79607505567929,449.0000000000033,1754.4254433752835,1508.5234012722708
CP26,C01180,Cineplanet,Villa El Salvador,53,461491.32194179704,755218.7745361328,7.445283018867923,7.165,11.599,4.856926415094339,52.99999999999739,14249.410840305094,8707.383432864524
CP06,C01263,Cineplanet,Santa Clara,398,627014.1843782794,694580.7215662003,24.481453098827476,21.195833333333333,44.63283333333334,16.267145728643214,398.00000000000006,1745.1776923773873,1575.4125235635158
CP07,C00753,Cineplanet,San Juan de Lurigancho,39,339771.8019872871,664235.46484375,7.91974358974359,7.663333333333333,12.388333333333337,4.037448717948718,38.999999999997996,17031.678585738053,8712.097486853963
CP12,C00072,Cineplanet,San Miguel,63,656459.9991678154,650391.8648071289,9.410423280423279,9.023333333333333,16.407,5.84068253968254,62.99999999999767,10323.680393764333,10419.999986791106
CP08,C01135,Cineplanet,Ate,38,250581.93810784776,640240.9823303223,7.973728070175438,7.100833333333333,11.8955,3.995226315789474,38.00000000000044,16848.44690342934,6594.261529153812
CP02,C00545,Cineplanet,Comas,432,641102.1784276308,567199.1385307312,36.36622685185185,38.14333333333333,55.77166666666667,25.660395370370367,431.99999999999744,1312.960968821145,1484.0328204343393
CP24,C00736,Cineplanet,Chorrillos,59,385273.8834335912,480588.71450805664,9.553333333333335,9.020000000000001,15.39466666666667,6.217320338983051,59.000000000002174,8145.571432339643,6530.065820908085
CP25,C01242,Cineplanet,Villa María del Triunfo,64,436418.66931105097,427481.1790161133,13.72171875,13.58,23.260000000000005,6.587457812499999,63.999999999994444,6679.39342212735,6819.041707985763
CP23,C00940,Cineplanet,San Juan de Miraflores,26,319436.1582789759,379968.03228759766,7.133653846153846,6.678333333333333,10.505833333333332,4.16666923076923,26.00000000000003,14614.155087984509,12286.006087652906
CP13,C01255,Cineplanet,La Molina,349,235175.2540462845,369241.03171157837,32.31546322827125,34.76,48.00366666666666,21.30981719197708,349.0000000000008,1057.997225534606,673.8545961211576
CP16,C00945,Cineplanet,San Borja,19,276834.33603284764,303787.951171875,5.437807017543859,5.073333333333333,8.417666666666667,3.3502105263157897,18.99999999999936,15988.83953536238,14570.22821225563
CP09,C00562,Cineplanet,Lima,20,215152.44556503987,298572.0927734375,6.895999999999999,7.005833333333333,8.352833333333333,3.344595,19.999999999999883,14928.604638671963,10757.622278252056
CP27,C01462,Cineplanet,Lurín,659,172132.42298843688,222994.3478782177,38.10211178553364,36.08166666666667,65.93966666666668,21.282309408194234,659.0000000000066,338.3829254601145,261.2024628049092
CP19,C01132,Cineplanet El Polo,Santiago de Surco,15,104302.69140299564,159867.71533203125,4.558777777777777,4.048333333333334,6.982,2.6131333333333333,15.00000000000015,10657.847688801978,6953.51276019964
CP20,C00879,Cineplanet Primavera,San Borja,10,151897.11974063577,157411.4853515625,3.7908333333333326,3.681666666666666,5.751333333333333,2.1605000000000003,10.000000000001162,15741.148535154422,15189.711974061813
CP22,C00497,Cineplanet,Miraflores,22,149812.07488520275,136176.501953125,6.028030303030304,5.975833333333333,9.141000000000002,3.6998454545454544,21.999999999999826,6189.840997869367,6809.639767509269
CP21,C01065,Cineplanet,Santiago de Surco,9,86150.21830673645,131666.1142578125,3.8472222222222223,4.118333333333333,5.036666666666667,2.0215666666666667,9.000000000004452,14629.568250860819,9572.246478521538
CP15,C00812,Cineplanet Plaza Santa Catalina,La Victoria,9,154650.6624999451,129580.6171875,3.813333333333334,3.8033333333333332,5.191000000000001,2.1677,8.999999999999622,14397.846354167272,17183.406944439066
CP11,C00560,Cineplanet,Breña,7,151393.5711453886,119835.76171875,4.26904761904762,4.081666666666667,5.947,2.038742857142857,7.000000000002443,17119.394531244023,21627.65302076225
CP17,C00556,Cineplanet Salaverry,Jesús María,8,117286.7091644496,97097.46240234375,4.1345833333333335,4.298333333333333,5.078166666666666,1.8704375,7.999999999999651,12137.182800293498,14660.83864555684
CP10,C00682,Cineplanet,Lima,4,39350.41509583502,71520.4052734375,4.119583333333334,4.151666666666666,6.013333333333334,2.074725,4.000000000000116,17880.101318358855,9837.60377395847
CP18,C01308,Cineplanet,La Molina,12,39554.86833163355,61659.2333984375,4.858055555555555,4.9399999999999995,6.821666666666667,2.540408333333333,12.000000000000059,5138.2694498697665,3296.2390276361134
CP14,C00744,Cineplanet Risso,Lince,4,50513.90454684706,48394.21875,2.8870833333333334,3.040833333333333,3.9028333333333336,1.385625,4.000000000002445,12098.554687492604,12628.476136704045
